Series ID,Series Title,Area Code,Area Level,Area Text,Occupation Code,Occupation Text,Job Characteristic Code,Job Characteristic Text,Work Level Code,Average Hourly Wage,Relative Standard Error
WMU00350041020000001130210012,Average hourly wage for computer and information systems managers,35004,Metro area,"Nassau County-Suffolk County, NY Metropolitan Division",113021,Computer and Information Systems Managers,0,All workers,12,97.32,6.4
WMU00459401020000001130210012,Average hourly wage for computer and information systems managers,45940,Metro area,"Trenton, NJ",113021,Computer and Information Systems Managers,0,All workers,12,97.15,9.4
WMU00205241020000001130210012,Average hourly wage for computer and information systems managers,20524,Metro area,"Dutchess County-Putnam County, NY Metropolitan Division",113021,Computer and Information Systems Managers,0,All workers,12,89.42,6.9
WMU00418841020000001500000012,Average hourly wage for computer and mathematical occupations,41884,Metro area,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,85.47,7
WMU00497001020000001500000012,Average hourly wage for computer and mathematical occupations,49700,Metro area,"Yuba City, CA",150000,Computer and Mathematical Occupations,0,All workers,12,83.44,20.7
WMU00251801020000001500000012,Average hourly wage for computer and mathematical occupations,25180,Metro area,"Hagerstown-Martinsburg, MD-WV",150000,Computer and Mathematical Occupations,0,All workers,12,81.07,9.6
WMU00191401020000001500000012,Average hourly wage for computer and mathematical occupations,19140,Metro area,"Dalton, GA",150000,Computer and Mathematical Occupations,0,All workers,12,79.83,16.2
WMU00748041020000001500000012,Average hourly wage for computer and mathematical occupations,74804,Metro area,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",150000,Computer and Mathematical Occupations,0,All workers,12,79.75,17.8
WMU00419401020000001500000012,Average hourly wage for computer and mathematical occupations,41940,Metro area,"San Jose-Sunnyvale-Santa Clara, CA",150000,Computer and Mathematical Occupations,0,All workers,12,79.02,5
WMU00356141020000001500000012,Average hourly wage for computer and mathematical occupations,35614,Metro area,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,78.84,2.8
WMU00129801020000001500000012,Average hourly wage for computer and mathematical occupations,12980,Metro area,"Battle Creek, MI",150000,Computer and Mathematical Occupations,0,All workers,12,77.48,4.9
WMU00181401020000001500000012,Average hourly wage for computer and mathematical occupations,18140,Metro area,"Columbus, OH",150000,Computer and Mathematical Occupations,0,All workers,12,77.18,9.7
WMU00497401020000001500000012,Average hourly wage for computer and mathematical occupations,49740,Metro area,"Yuma, AZ",150000,Computer and Mathematical Occupations,0,All workers,12,77.13,7.5
WMU00426441020000001500000012,Average hourly wage for computer and mathematical occupations,42644,Metro area,"Seattle-Bellevue-Everett, WA Metropolitan Division",150000,Computer and Mathematical Occupations,0,All workers,12,77.08,3.6
WMU00497401020000001500002512,Average hourly wage for computer and mathematical occupations,49740,Metro area,"Yuma, AZ",150000,Computer and Mathematical Occupations,25,Full-time,12,77.05,7.5
